# HDR Greenland Mass
# HDR
# HDR Data from the GRACE JPL RL05M.1 Mascon Solution: Version 2
# HDR
# HDR This file contains values that are anomalies relative to April 2002 computed at the Jet Propulsion Laboratory under the
# HDR auspices of the NASA MEaSUREs program. The Greenland mass anomalies are generated using GRACE data from the JPL RL05M.1
# HDR Mascon Solution: Version 2 (https://podaac.jpl.nasa.gov/dataset/TELLUS_GRACE_MASCON_CRI_GRID_RL05_V2).
# HDR
# HDR Greenland Mass Trend (04/2002 - 06/2017): -285.85 +/-21.01 Gt/yr
# HDR
# HDR If you use these data please cite:
# HDR Wiese, D. N., D.-N. Yuan, C. Boening, F. W. Landerer, and M. M. Watkins (2016) JPL GRACE Mascon Ocean, Ice, and Hydrology Equivalent
# HDR Water Height RL05M.1 CRI Filtered Version 2., Ver. 2., PO.DAAC, CA, USA. Dataset accessed [YYYY-MM-DD] at http://dx.doi.org/10.5067/TEMSC-2LCR5.
# HDR
# HDR For information on how the data were generated please refer to:
# HDR Watkins, M. M., D. N. Wiese, D. -N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth's time variable
# HDR mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, 2648_2671, doi: 10.1002/2014JB011547.
# HDR
# HDR column description
# HDR 1 TIME (year.decimal)
# HDR 2 Greenland mass (Gigatonnes)
# HDR 3 Greenland mass 1-sigma uncertainty (Gigatonnes)
# HDR
# HDR NOTES (1): Correction for Glacial Isostatic Adjustment (GIA) is from A. et al. (2013), doi:10.1093/gji/ggs030
# HDR NOTES (2): Trend value is derived by performing a weighted least squares fit of an annual, semiannual, bias, and trend to the timeseries
# HDR NOTES (3): Monthly uncertainties are computed using measurement errors provided in the JPL RL05M.1 Solution and considering
# HDR            leakage errors in accordance with Wiese et al. (2016), doi:10.1002/2016WR019344 and Schlegel et al. (2016), doi:10.5194/tc-10-1965-2016
# HDR NOTES (4): The trend uncertainty provides a 1-sigma confidence interval. The calculation considers only the propagation of the monthly uncertainties
# HDR            into the trend, assumes uncorrelated observations, and includes GIA uncertainty according to Velicogna et al. (2013), doi:10.1002/grl.50527
# HDR
# HDR Header_End---------------------------------------
time       mass        sigma
2002.29       0.00     110.39
2002.35      12.45      66.04
2002.62    -242.15      52.74
2002.71    -267.75      63.34
2002.79    -279.02      39.55
2002.87    -245.23      36.89
2002.96    -183.43      38.74
2003.04    -161.19      41.35
2003.12    -168.24      32.95
2003.20     -77.21      29.25
2003.29     -24.22      28.80
2003.36       2.30      30.61
2003.54    -193.90      22.43
2003.62    -359.62      23.27
2003.71    -414.59      23.74
2003.79    -395.39      23.89
2003.87    -353.86      23.43
2003.96    -361.43      23.26
2004.02    -385.27      27.19
2004.13    -370.66      23.32
2004.21    -342.18      21.98
2004.29    -248.43      22.01
2004.37    -268.87      22.03
2004.46    -324.37      22.18
2004.54    -407.60      19.96
2004.62    -541.25      20.59
2004.71    -537.17      21.66
2004.79    -613.27      19.50
2004.87    -561.51      20.99
2004.96    -570.30      20.57
2005.04    -563.17      19.57
2005.12    -469.46      20.67
2005.20    -420.70      20.80
2005.29    -402.05      20.74
2005.37    -426.91      21.06
2005.46    -464.87      21.50
2005.54    -583.64      20.92
2005.62    -759.14      20.47
2005.71    -843.78      20.47
2005.79    -895.52      20.24
2005.87    -882.62      19.71
2005.96    -758.11      24.38
2006.04    -755.96      20.97
2006.12    -689.58      21.08
2006.20    -658.57      20.60
2006.29    -723.77      21.16
2006.37    -713.92      21.06
2006.45    -672.94      22.76
2006.54    -776.35      22.32
2006.62    -928.60      21.20
2006.71   -1032.68      22.39
2006.79   -1006.08      22.31
2006.87    -982.55      22.08
2006.96    -971.22      22.71
2007.04    -933.32      23.46
2007.12    -923.33      22.73
2007.20    -933.57      22.25
2007.29    -901.99      22.76
2007.37    -881.61      22.38
2007.45    -887.93      22.94
2007.54   -1085.25      22.39
2007.62   -1303.85      24.27
2007.71   -1363.63      22.98
2007.79   -1330.21      23.73
2007.87   -1326.21      24.45
2007.96   -1268.57      22.67
2008.04   -1260.81      22.77
2008.12   -1238.36      24.08
2008.21   -1158.98      22.66
2008.29   -1178.25      24.75
2008.37   -1257.25      23.61
2008.46   -1253.88      23.21
2008.54   -1399.42      24.09
2008.62   -1562.86      23.71
2008.71   -1587.65      23.38
2008.79   -1596.30      22.89
2008.87   -1522.35      23.81
2008.96   -1482.63      23.15
2009.04   -1419.39      23.25
2009.12   -1402.26      24.04
2009.20   -1466.52      23.21
2009.29   -1485.14      21.72
2009.37   -1470.63      22.13
2009.46   -1410.45      22.42
2009.54   -1486.20      23.48
