Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.01
188002,-0.13
188003,-0.14
188004,-0.06
188005,-0.08
188006,-0.18
188007,-0.16
188008,-0.09
188009,-0.09
188010,-0.19
188011,-0.27
188012,-0.09
188101,-0.03
188102,-0.03
188103,0.02
188104,0.07
188105,0.02
188106,-0.10
188107,-0.05
188108,-0.07
188109,-0.18
188110,-0.23
188111,-0.23
188112,-0.06
188201,0.08
188202,0.02
188203,0.06
188204,-0.13
188205,-0.16
188206,-0.15
188207,-0.08
188208,-0.02
188209,-0.00
188210,-0.22
188211,-0.14
188212,-0.18
188301,-0.28
188302,-0.30
188303,-0.14
188304,-0.18
188305,-0.15
188306,-0.02
188307,-0.09
188308,-0.06
188309,-0.16
188310,-0.17
188311,-0.18
188312,-0.09
188401,-0.20
188402,-0.16
188403,-0.22
188404,-0.19
188405,-0.14
188406,-0.21
188407,-0.31
188408,-0.28
188409,-0.24
188410,-0.19
188411,-0.28
188412,-0.16
188501,-0.44
188502,-0.27
188503,-0.16
188504,-0.26
188505,-0.29
188506,-0.32
188507,-0.25
188508,-0.25
188509,-0.21
188510,-0.14
188511,-0.14
188512,0.04
188601,-0.12
188602,-0.29
188603,-0.29
188604,-0.17
188605,-0.16
188606,-0.25
188607,-0.17
188608,-0.22
188609,-0.20
188610,-0.23
188611,-0.20
188612,-0.17
188701,-0.39
188702,-0.39
188703,-0.16
188704,-0.19
188705,-0.24
188706,-0.22
188707,-0.27
188708,-0.31
188709,-0.18
188710,-0.29
188711,-0.16
188712,-0.20
188801,-0.39
188802,-0.33
188803,-0.30
188804,-0.18
188805,-0.16
188806,-0.10
188807,-0.12
188808,-0.17
188809,-0.07
188810,0.01
188811,-0.05
188812,0.04
188901,-0.10
188902,0.01
188903,0.11
188904,0.05
188905,-0.03
188906,-0.07
188907,-0.17
188908,-0.14
188909,-0.23
188910,-0.19
188911,-0.28
188912,-0.18
189001,-0.36
189002,-0.43
189003,-0.32
189004,-0.26
189005,-0.39
189006,-0.29
189007,-0.28
189008,-0.33
189009,-0.35
189010,-0.30
189011,-0.34
189012,-0.23
189101,-0.37
189102,-0.52
189103,-0.20
189104,-0.24
189105,-0.14
189106,-0.20
189107,-0.22
189108,-0.22
189109,-0.14
189110,-0.27
189111,-0.39
189112,-0.04
189201,-0.23
189202,-0.12
189203,-0.30
189204,-0.31
189205,-0.29
189206,-0.28
189207,-0.34
189208,-0.33
189209,-0.21
189210,-0.24
189211,-0.46
189212,-0.46
189301,-0.67
189302,-0.61
189303,-0.22
189304,-0.34
189305,-0.33
189306,-0.23
189307,-0.19
189308,-0.31
189309,-0.25
189310,-0.20
189311,-0.16
189312,-0.24
189401,-0.43
189402,-0.21
189403,-0.20
189404,-0.30
189405,-0.30
189406,-0.35
189407,-0.27
189408,-0.27
189409,-0.25
189410,-0.21
189411,-0.29
189412,-0.23
189501,-0.43
189502,-0.40
189503,-0.28
189504,-0.18
189505,-0.20
189506,-0.29
189507,-0.19
189508,-0.22
189509,-0.13
189510,-0.13
189511,-0.15
189512,-0.07
189601,-0.10
189602,-0.07
189603,-0.20
189604,-0.25
189605,-0.09
189606,-0.08
189607,-0.04
189608,-0.05
189609,-0.06
189610,0.00
189611,-0.16
189612,0.06
189701,-0.18
189702,-0.10
189703,-0.17
189704,0.01
189705,-0.01
189706,-0.09
189707,-0.03
189708,-0.07
189709,-0.02
189710,-0.15
189711,-0.25
189712,-0.29
189801,-0.03
189802,-0.28
189803,-0.65
189804,-0.35
189805,-0.31
189806,-0.21
189807,-0.24
189808,-0.23
189809,-0.21
189810,-0.32
189811,-0.25
189812,-0.01
189901,-0.10
189902,-0.28
189903,-0.25
189904,-0.19
189905,-0.13
189906,-0.19
189907,-0.12
189908,-0.06
189909,-0.05
189910,-0.03
189911,0.15
189912,-0.16
190001,-0.23
190002,-0.09
190003,-0.04
190004,-0.09
190005,-0.04
190006,-0.05
190007,-0.07
190008,-0.08
190009,-0.06
190010,0.05
190011,-0.13
190012,0.03
190101,-0.12
190102,-0.07
190103,-0.03
190104,-0.07
190105,-0.12
190106,-0.13
190107,-0.15
190108,-0.13
190109,-0.21
190110,-0.28
190111,-0.13
190112,-0.24
190201,-0.09
190202,-0.04
190203,-0.20
190204,-0.27
190205,-0.26
190206,-0.33
190207,-0.29
190208,-0.27
190209,-0.24
190210,-0.28
190211,-0.34
190212,-0.37
190301,-0.21
190302,-0.08
190303,-0.27
190304,-0.35
190305,-0.39
190306,-0.37
190307,-0.33
190308,-0.43
190309,-0.38
190310,-0.43
190311,-0.39
190312,-0.39
190401,-0.54
190402,-0.47
190403,-0.51
190404,-0.47
190405,-0.43
190406,-0.44
190407,-0.46
190408,-0.43
190409,-0.46
190410,-0.41
190411,-0.17
190412,-0.24
190501,-0.35
190502,-0.61
190503,-0.39
190504,-0.45
190505,-0.29
190506,-0.25
190507,-0.19
190508,-0.22
190509,-0.21
190510,-0.29
190511,-0.09
190512,-0.13
190601,-0.17
190602,-0.23
190603,-0.14
190604,-0.04
190605,-0.21
190606,-0.17
190607,-0.24
190608,-0.23
190609,-0.30
190610,-0.28
190611,-0.37
190612,-0.16
190701,-0.35
190702,-0.40
190703,-0.28
